Date,Open,Close,Volume,Price_change,date
2008-01-31,6.159999847412109,6.147500038146973,58870800,1,0
2008-02-01,6.135000228881836,6.715000152587891,59310400,1,2008-02-01
2008-02-04,6.860000133514404,6.505000114440918,56512800,-1,2008-02-04
2008-02-05,6.375,6.097499847412109,49492800,-1,2008-02-05
2008-02-06,6.162499904632568,6.077499866485596,55738000,-1,2008-02-06
2008-02-07,5.902500152587891,6.137499809265137,66412800,1,2008-02-07
2008-02-08,6.079999923706055,6.247499942779541,39393200,1,2008-02-08
2008-02-11,6.300000190734863,6.267499923706055,50373200,1,2008-02-11
2008-02-12,6.362500190734863,6.5,60968800,1,2008-02-12
2008-02-13,6.550000190734863,6.755000114440918,74231200,1,2008-02-13
2008-02-14,6.557499885559082,5.652500152587891,218429600,-1,2008-02-14
2008-02-15,5.630000114440918,5.567500114440918,81736400,-1,2008-02-15
2008-02-19,5.670000076293945,5.485000133514404,55860800,-1,2008-02-19
2008-02-20,5.324999809265137,5.445000171661377,75901600,-1,2008-02-20
2008-02-21,5.5,5.322500228881836,64427200,-1,2008-02-21
2008-02-22,5.364999771118164,5.579999923706055,72305200,1,2008-02-22
2008-02-25,5.574999809265137,5.577499866485596,67178400,-1,2008-02-25
2008-02-26,5.545000076293945,5.625,56542000,1,2008-02-26
2008-02-27,5.597499847412109,5.712500095367432,53781600,1,2008-02-27
2008-02-28,5.662499904632568,5.497499942779541,50360800,-1,2008-02-28
2008-02-29,5.40749979019165,5.347499847412109,54057600,-1,2008-02-29
2008-03-03,5.340000152587891,5.284999847412109,44902800,-1,2008-03-03
2008-03-04,5.25,5.232500076293945,77888800,-1,2008-03-04
2008-03-05,5.28249979019165,5.292500019073486,64465600,1,2008-03-05
2008-03-06,5.227499961853027,4.960000038146973,107528400,-1,2008-03-06
2008-03-07,4.869999885559082,4.887499809265137,76750000,-1,2008-03-07
2008-03-10,4.827499866485596,4.607500076293945,77610000,-1,2008-03-10
2008-03-11,4.75,4.760000228881836,85794000,1,2008-03-11
2008-03-12,4.804999828338623,4.630000114440918,74332000,-1,2008-03-12
2008-03-13,4.557499885559082,4.925000190734863,122052800,1,2008-03-13
2008-03-14,4.949999809265137,4.579999923706055,115497200,-1,2008-03-14
2008-03-17,4.380000114440918,4.465000152587891,80095200,-1,2008-03-17
2008-03-18,4.570000171661377,4.742499828338623,107525600,1,2008-03-18
2008-03-19,4.632500171661377,4.414999961853027,88047600,-1,2008-03-19
2008-03-20,4.46750020980835,4.630000114440918,63346000,1,2008-03-20
2008-03-24,4.732500076293945,5.007500171661377,88744000,1,2008-03-24
2008-03-25,5.03000020980835,5.079999923706055,73538800,1,2008-03-25
2008-03-26,5.012499809265137,4.917500019073486,72165200,-1,2008-03-26
2008-03-27,4.84250020980835,4.847499847412109,60130800,-1,2008-03-27
2008-03-28,4.934999942779541,4.920000076293945,56178800,1,2008-03-28
2008-03-31,4.972499847412109,4.947500228881836,56999200,1,2008-03-31
2008-04-01,5.09499979019165,5.25,67687200,1,2008-04-01
2008-04-02,5.264999866485596,5.090000152587891,61653600,-1,2008-04-02
2008-04-03,5.047500133514404,4.994999885559082,84198400,-1,2008-04-03
2008-04-04,4.894999980926514,4.695000171661377,153552800,-1,2008-04-04
2008-04-07,4.809999942779541,4.807499885559082,72949600,1,2008-04-07
2008-04-08,4.75,4.78000020980835,63947600,-1,2008-04-08
2008-04-09,4.835000038146973,4.875,67523200,1,2008-04-09
2008-04-10,4.927499771118164,4.96999979019165,109218400,1,2008-04-10
2008-04-11,4.875,4.632500171661377,110628000,-1,2008-04-11
2008-04-14,4.614999771118164,4.477499961853027,78000400,-1,2008-04-14
2008-04-15,4.5,4.53000020980835,43991600,1,2008-04-15
2008-04-16,4.702499866485596,4.710000038146973,64683600,1,2008-04-16
2008-04-17,4.492499828338623,4.644999980926514,59696800,-1,2008-04-17
2008-04-18,4.787499904632568,4.755000114440918,57354000,1,2008-04-18
2008-04-21,4.71750020980835,4.96750020980835,67989200,1,2008-04-21
2008-04-22,4.877500057220459,4.875,58766800,-1,2008-04-22
2008-04-23,4.942500114440918,5.110000133514404,102049600,1,2008-04-23
2008-04-24,5.139999866485596,4.987500190734863,65576400,-1,2008-04-24
2008-04-25,5.034999847412109,5.037499904632568,55220800,1,2008-04-25
2008-04-28,5.014999866485596,4.947500228881836,53570000,-1,2008-04-28
2008-04-29,4.892499923706055,5.050000190734863,57340800,1,2008-04-29
2008-04-30,5.110000133514404,5.137499809265137,106832000,1,2008-04-30
2008-05-01,5.199999809265137,5.375,101462400,1,2008-05-01
2008-05-02,5.522500038146973,5.630000114440918,113101600,1,2008-05-02
2008-05-05,5.59250020980835,5.489999771118164,94339200,-1,2008-05-05
2008-05-06,5.474999904632568,5.632500171661377,72903600,1,2008-05-06
2008-05-07,5.647500038146973,5.502500057220459,71563200,-1,2008-05-07
2008-05-08,5.545000076293945,5.487500190734863,136000000,-1,2008-05-08
2008-05-09,5.502500057220459,5.632500171661377,203035200,1,2008-05-09
2008-05-12,5.704999923706055,5.472499847412109,100665200,-1,2008-05-12
2008-05-13,5.5,5.360000133514404,85410800,-1,2008-05-13
2008-05-14,5.427499771118164,5.517499923706055,75114800,1,2008-05-14
2008-05-15,5.505000114440918,5.945000171661377,116546400,1,2008-05-15
2008-05-16,6.045000076293945,6.102499961853027,109155600,1,2008-05-16
2008-05-19,6.105000019073486,5.974999904632568,115853200,-1,2008-05-19
2008-05-20,5.8125,5.820000171661377,77140400,-1,2008-05-20
2008-05-21,5.835000038146973,5.772500038146973,106666000,-1,2008-05-21
2008-05-22,5.855000019073486,5.912499904632568,69310800,1,2008-05-22
2008-05-23,5.902500152587891,5.777500152587891,80267200,-1,2008-05-23
2008-05-27,5.787499904632568,5.840000152587891,83285600,1,2008-05-27
2008-05-28,6.0,5.894999980926514,75173600,1,2008-05-28
2008-05-29,5.897500038146973,5.880000114440918,69346000,-1,2008-05-29
2008-05-30,6.047500133514404,6.175000190734863,83024400,1,2008-05-30
2008-06-02,6.175000190734863,6.199999809265137,73466000,1,2008-06-02
2008-06-03,6.21999979019165,5.989999771118164,84069600,-1,2008-06-03
2008-06-04,5.857500076293945,6.059999942779541,83172400,1,2008-06-04
2008-06-05,6.269999980926514,6.212500095367432,82786000,1,2008-06-05
2008-06-06,6.137499809265137,6.014999866485596,78487600,-1,2008-06-06
2008-06-09,5.980000019073486,5.922500133514404,63791600,-1,2008-06-09
2008-06-10,5.762499809265137,5.572500228881836,122520800,-1,2008-06-10
2008-06-11,5.572500228881836,5.3125,99942800,-1,2008-06-11
2008-06-12,5.432499885559082,5.34499979019165,82599200,1,2008-06-12
2008-06-13,5.352499961853027,5.327499866485596,70574800,-1,2008-06-13
2008-06-16,5.269999980926514,5.255000114440918,63049600,-1,2008-06-16
2008-06-17,5.329999923706055,5.127500057220459,68791200,-1,2008-06-17
2008-06-18,5.074999809265137,4.977499961853027,106527200,-1,2008-06-18
2008-06-19,5.005000114440918,4.965000152587891,78492800,-1,2008-06-19
2008-06-20,4.855000019073486,4.940000057220459,74100800,-1,2008-06-20
2008-06-23,4.977499961853027,4.837500095367432,77661600,-1,2008-06-23
2008-06-24,4.809999942779541,4.997499942779541,107892800,1,2008-06-24
2008-06-25,5.074999809265137,5.025000095367432,90097600,1,2008-06-25
2008-06-26,4.875,4.767499923706055,84553200,-1,2008-06-26
2008-06-27,4.787499904632568,4.820000171661377,58414000,1,2008-06-27
2008-06-30,4.764999866485596,4.679999828338623,65394000,-1,2008-06-30
2008-07-01,4.625,4.6875,88146400,1,2008-07-01
2008-07-02,4.664999961853027,4.507500171661377,76319600,-1,2008-07-02
2008-07-03,3.244999885559082,3.122499942779541,298752000,-1,2008-07-03
2008-07-07,3.1700000762939453,3.0250000953674316,220269200,-1,2008-07-07
2008-07-08,3.0450000762939453,3.007499933242798,180528800,-1,2008-07-08
2008-07-09,3.015000104904175,2.9549999237060547,141316800,-1,2008-07-09
2008-07-10,2.9700000286102295,2.947499990463257,105699200,-1,2008-07-10
2008-07-11,2.887500047683716,2.9175000190734863,80776000,-1,2008-07-11
2008-07-14,2.940000057220459,2.7850000858306885,88231600,-1,2008-07-14
2008-07-15,2.759999990463257,2.815000057220459,112248400,1,2008-07-15
2008-07-16,2.825000047683716,2.8299999237060547,103439200,1,2008-07-16
2008-07-17,2.875,2.8399999141693115,86208000,1,2008-07-17
2008-07-18,2.819999933242798,2.890000104904175,89972000,1,2008-07-18
2008-07-21,2.934999942779541,2.9075000286102295,57163600,1,2008-07-21
2008-07-22,2.880000114440918,2.8450000286102295,55592400,-1,2008-07-22
2008-07-23,2.865000009536743,2.930000066757202,59487600,1,2008-07-23
2008-07-24,2.9000000953674316,2.757499933242798,70562800,-1,2008-07-24
